what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1423454326148
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1423454326149
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1423454326150
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1423454326151
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1423454326151
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1423454326152
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1423454326152
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1423454326153
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1423454326154
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1423454326154
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1423454326162
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1423454326163
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1423454326163
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1423454326164
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1423454326164
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1423454326164
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1423454326166
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1423454326168
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1423454326169
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1423454326171
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1423454326173
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1423454326175
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1423454326177
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1423454326190
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1423454326205
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1423454326206
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1423454326207
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1423454326207
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1423454326208
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1423454326209
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1423454326209
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1423454326210
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1423454326210
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1423454326304
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1423454326306
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1423454326326
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1423454326346
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1423454326347
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1423454326358
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1423454326358
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1423454326358
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1423454326376
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1423454326376
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1423454326377
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1423454326377
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1423454326378
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1423454326378
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1423454326378
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1423454326379
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1423454326379
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1423454326379
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1423454326405
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1423454326406
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1423454326425
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1423454326426
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1423454326426
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1423454326472
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1423454326487
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1423454326521
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1423454326522
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1423454326556
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1423454326556
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1423454326567
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1423454326590
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1423454326590
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1423454326591
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1423454326591
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1423454326592
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1423454326592
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1423454326608
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1423454326609
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1423454326628
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423454326628
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1423454326629
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1423454326629
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1423454326630
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1423454326644
started,bundle,de.fu_berlin.inf.dpp,13.12.6,"de.fu_berlin.inf.dpp",1423454326645
started,bundle,de.fu_berlin.inf.dpp.whiteboard,13.12.6,"de.fu_berlin.inf.dpp.whiteboard",1423454326645
started,bundle,de.fu_berlin.inf.nebula,13.12.6,"de.fu_berlin.inf.nebula",1423454326646
os,sysinfo,,,"win32",1423454326649
arch,sysinfo,,,"x86_64",1423454326649
ws,sysinfo,,,"win32",1423454326649
locale,sysinfo,,,"en_US",1423454326649
processors,sysinfo,,,"6",1423454326649
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423454326649
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1423454326649
java.specification.name,sysinfo,,,"Java Platform API Specification",1423454326649
java.specification.vendor,sysinfo,,,"Oracle Corporation",1423454326649
java.specification.version,sysinfo,,,"1.7",1423454326649
java.vendor,sysinfo,,,"Oracle Corporation",1423454326649
java.version,sysinfo,,,"1.7.0_21",1423454326649
java.vm.info,sysinfo,,,"mixed mode",1423454326649
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1423454326649
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423454326649
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1423454326649
java.vm.specification.version,sysinfo,,,"1.7",1423454326649
java.vm.vendor,sysinfo,,,"Oracle Corporation",1423454326649
java.vm.version,sysinfo,,,"23.21-b01",1423454326649
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1423454326701
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1423454326812
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423454327255
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1423454336125
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423454336182
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423454336210
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423454336245
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1423454336271
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423454336835
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1423454342520
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1423454342521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454343636
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1423454354056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454355330
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1423454355825
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1423454355900
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1423454355986
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1423454356020
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1423454356215
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1423454360614
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1423454360617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454364190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454370831
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1423454372073
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1423454372078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454379931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454390806
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423454390838
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423454392710
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1423454392710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454397948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454799762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423454801991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455016406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455018057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455023457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455026739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455030420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455031880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455033590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455082251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1423455085113
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1423455085213
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1423455085273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455085423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455085813
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1423455086113
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1423455089326
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1423455089376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455089386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455092496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455092876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455102583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455112813
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1423455112823
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1423455113983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455115253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1423455123484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455124114
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423455144436
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423455144576
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1423455145146
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1423455145706
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1423455146196
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1423455146376
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1423455146526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455147536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455147556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455147686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455150363
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1423455150593
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423455151043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455151293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455161900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455165575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455486339
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1423455489184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455497412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455568838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455569520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455590486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455597535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423455612865
