what,kind,bundleId,bundleVersion,description,time
started,bundle,de.fu_berlin.inf.dpp,13.12.6,"de.fu_berlin.inf.dpp",1423985998249
started,bundle,de.fu_berlin.inf.nebula,13.12.6,"de.fu_berlin.inf.nebula",1423985998249
os,sysinfo,,,"win32",1423985998269
arch,sysinfo,,,"x86_64",1423985998269
ws,sysinfo,,,"win32",1423985998269
locale,sysinfo,,,"en_US",1423985998269
processors,sysinfo,,,"6",1423985998269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423985998269
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1423985998269
java.specification.name,sysinfo,,,"Java Platform API Specification",1423985998269
java.specification.vendor,sysinfo,,,"Oracle Corporation",1423985998269
java.specification.version,sysinfo,,,"1.7",1423985998269
java.vendor,sysinfo,,,"Oracle Corporation",1423985998269
java.version,sysinfo,,,"1.7.0_21",1423985998269
java.vm.info,sysinfo,,,"mixed mode",1423985998269
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1423985998269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423985998269
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1423985998269
java.vm.specification.version,sysinfo,,,"1.7",1423985998269
java.vm.vendor,sysinfo,,,"Oracle Corporation",1423985998269
java.vm.version,sysinfo,,,"23.21-b01",1423985998269
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1423985998379
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1423985998539
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1423985998559
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423985998659
